PLAYER_NAME,SEASON,TEAM_ABBREVIATION,POSITION,PROFILE_GROUP,AGE,PTS,REB,AST,TS_PCT,USG_PCT,SCORING_PCTL,SHOOTING_PCTL,PLAYMAKING_PCTL,REBOUNDING_PCTL,DEFENSE_PCTL,EFFICIENCY_PCTL,RIM_PRESSURE_PCTL,CREATION_PCTL,ARCHETYPE
Anthony Edwards,2022-23,MIN,Guard/Wing,Guard/Wing,21.0,32.3,7.6,5.8,0.564,0.292,95.20839671432918,74.25717472872934,65.66017645269243,69.09035594767265,15.850319440219044,70.80164283541222,87.988033667985,81.04654700334652,Guard/Wing
Anthony Lamb,2022-23,GSW,Guard/Wing,Guard/Wing,25.0,16.3,8.4,3.8,0.61,0.136,23.007301490721023,75.65662711692526,37.00943109218132,78.9321569820505,20.62671128688774,93.5807727411013,38.19338809451374,23.93519926985093,Guard/Wing
Austin Reaves,2022-23,LAL,Guard/Wing,Guard/Wing,25.0,20.9,4.9,5.4,0.687,0.154,55.35442652874962,75.12676199168442,55.45330088226347,24.148159415880745,22.208700943109218,99.89351992698509,58.29276949599432,38.74733799817463,Guard/Wing
Austin Rivers,2022-23,MIN,Guard/Wing,Guard/Wing,30.0,11.8,3.9,3.5,0.564,0.104,3.9930027380590207,54.852449041679336,27.39580164283541,8.57164587770003,6.723456038941284,70.80164283541222,18.309502078896664,14.431852753270457,Guard/Wing
Ayo Dosunmu,2022-23,CHI,Guard/Wing,Guard/Wing,23.0,15.6,5.0,4.7,0.567,0.145,19.014298752662,42.22948990974546,47.84758138119866,26.041983571645876,24.361119561910556,73.00730149072102,41.99624784504614,31.982050501977483,Guard/Wing
Bam Adebayo,2022-23,MIA,Big,Big,25.0,29.1,13.1,4.6,0.592,0.251,91.35213604313563,61.489008710078814,88.36582330982995,52.218996267109084,31.32828701783492,76.95976773123185,84.37024747684225,88.36582330982995,Big
Ben Simmons,2022-23,BKN,Guard/Wing,Guard/Wing,26.0,12.7,11.4,11.1,0.559,0.142,6.259507149376331,23.724774363654806,88.63705506540919,97.8171585031944,13.583815028901732,67.32582902342563,39.94016833992496,51.47170672345604,Guard/Wing
Bennedict Mathurin,2022-23,IND,Guard/Wing,Guard/Wing,21.0,27.2,6.6,2.4,0.566,0.235,86.04350471554609,52.60876178886523,15.759050806206268,56.63979312442957,4.631883176148464,72.21630666261028,71.70418821620525,48.23167021600243,Guard/Wing
Blake Wesley,2022-23,SAS,Guard/Wing,Guard/Wing,20.0,12.6,5.6,6.7,0.393,0.18,5.932461210830545,32.77558056992191,67.78977791299057,35.73167021600243,3.2628536659567997,0.28141162153939764,16.26863401277761,55.1871006997262,Guard/Wing
Bobby Portis,2022-23,MIL,Big,Big,28.0,25.4,17.3,2.7,0.575,0.211,80.38158440481128,83.99695838517904,56.594773952716714,88.55246785566155,35.516383243467445,66.88096225632518,65.37398036775888,63.45914558274575,Big
Bogdan Bogdanović,2022-23,ATL,Guard/Wing,Guard/Wing,30.0,23.7,5.2,4.7,0.586,0.196,71.90447216306663,89.17199067031743,47.45968968664436,31.959233343474292,4.114694250076057,84.10404624277457,63.441841598215184,52.02692424703377,Guard/Wing
Bojan Bogdanovic,2022-23,DET,Guard/Wing,Guard/Wing,34.0,31.9,5.6,3.8,0.627,0.251,94.84332217827807,90.13031132745157,47.03376939458473,37.72436872528141,0.8518405841192577,97.23151810161241,90.56130209917858,67.33343474292668,Guard/Wing
Bol Bol,2022-23,ORL,Big,Big,23.0,20.0,12.8,2.2,0.603,0.177,51.94939858979677,78.61883036084612,39.299046038987974,43.488179178764,50.93633347158855,81.9991704686852,58.3367897138117,43.467440895893816,Big
Bones Hyland,2022-23,LAC,Guard/Wing,Guard/Wing,22.0,29.4,6.0,7.7,0.535,0.271,91.45877700030422,70.51769597403914,78.39975661697596,48.84393063583815,1.8025555217523577,46.805597809552786,66.9607544873745,85.64420444174019,Guard/Wing
Bradley Beal,2022-23,WAS,Guard/Wing,Guard/Wing,30.0,33.9,5.7,7.9,0.593,0.288,96.75235777304533,67.41202717777101,81.61697596592637,41.48919987830848,4.4569516276239725,87.59507149376331,95.657134164892,88.7549437176757,Guard/Wing
